C:\Users\vigne\Downloads\simulator-windows-64\IMG\center_2020_08_22_15_45_11_906.jpg, C:\Users\vigne\Downloads\simulator-windows-64\IMG\left_2020_08_22_15_45_11_906.jpg, C:\Users\vigne\Downloads\simulator-windows-64\IMG\right_2020_08_22_15_45_11_906.jpg, 0, 0, 0, 8.164959E-05
C:\Users\vigne\Downloads\simulator-windows-64\IMG\center_2020_08_22_15_45_12_007.jpg, C:\Users\vigne\Downloads\simulator-windows-64\IMG\left_2020_08_22_15_45_12_007.jpg, C:\Users\vigne\Downloads\simulator-windows-64\IMG\right_2020_08_22_15_45_12_007.jpg, 0, 0, 0, 8.139294E-05
C:\Users\vigne\Downloads\simulator-windows-64\IMG\center_2020_08_22_15_45_12_108.jpg, C:\Users\vigne\Downloads\simulator-windows-64\IMG\left_2020_08_22_15_45_12_108.jpg, C:\Users\vigne\Downloads\simulator-windows-64\IMG\right_2020_08_22_15_45_12_108.jpg, 0, 0, 0, 8.152737E-05
C:\Users\vigne\Downloads\simulator-windows-64\IMG\center_2020_08_22_15_45_12_218.jpg, C:\Users\vigne\Downloads\simulator-windows-64\IMG\left_2020_08_22_15_45_12_218.jpg, C:\Users\vigne\Downloads\simulator-windows-64\IMG\right_2020_08_22_15_45_12_218.jpg, 0, 0, 0, 8.219572E-05
C:\Users\vigne\Downloads\simulator-windows-64\IMG\center_2020_08_22_15_45_12_318.jpg, C:\Users\vigne\Downloads\simulator-windows-64\IMG\left_2020_08_22_15_45_12_318.jpg, C:\Users\vigne\Downloads\simulator-windows-64\IMG\right_2020_08_22_15_45_12_318.jpg, 0, 0, 0, 8.27036E-05
C:\Users\vigne\Downloads\simulator-windows-64\IMG\center_2020_08_22_15_45_12_428.jpg, C:\Users\vigne\Downloads\simulator-windows-64\IMG\left_2020_08_22_15_45_12_428.jpg, C:\Users\vigne\Downloads\simulator-windows-64\IMG\right_2020_08_22_15_45_12_428.jpg, 0, 0, 0, 8.151275E-05
C:\Users\vigne\Downloads\simulator-windows-64\IMG\center_2020_08_22_15_45_12_538.jpg, C:\Users\vigne\Downloads\simulator-windows-64\IMG\left_2020_08_22_15_45_12_538.jpg, C:\Users\vigne\Downloads\simulator-windows-64\IMG\right_2020_08_22_15_45_12_538.jpg, 0, 0, 0, 8.183756E-05
C:\Users\vigne\Downloads\simulator-windows-64\IMG\center_2020_08_22_15_45_12_647.jpg, C:\Users\vigne\Downloads\simulator-windows-64\IMG\left_2020_08_22_15_45_12_647.jpg, C:\Users\vigne\Downloads\simulator-windows-64\IMG\right_2020_08_22_15_45_12_647.jpg, 0, 0, 0, 8.193669E-05
C:\Users\vigne\Downloads\simulator-windows-64\IMG\center_2020_08_22_15_45_12_747.jpg, C:\Users\vigne\Downloads\simulator-windows-64\IMG\left_2020_08_22_15_45_12_747.jpg, C:\Users\vigne\Downloads\simulator-windows-64\IMG\right_2020_08_22_15_45_12_747.jpg, 0, 0, 0, 8.156701E-05
C:\Users\vigne\Downloads\simulator-windows-64\IMG\center_2020_08_22_15_45_12_858.jpg, C:\Users\vigne\Downloads\simulator-windows-64\IMG\left_2020_08_22_15_45_12_858.jpg, C:\Users\vigne\Downloads\simulator-windows-64\IMG\right_2020_08_22_15_45_12_858.jpg, 0, 0, 0, 8.213111E-05
C:\Users\vigne\Downloads\simulator-windows-64\IMG\center_2020_08_22_15_45_12_967.jpg, C:\Users\vigne\Downloads\simulator-windows-64\IMG\left_2020_08_22_15_45_12_967.jpg, C:\Users\vigne\Downloads\simulator-windows-64\IMG\right_2020_08_22_15_45_12_967.jpg, 0, 0, 0, 8.141239E-05
